( vogue_0001 " Follow me,  said my friend, gripping my hand and pulling me to the dance floor." )
( vogue_0002 " Look behind you to your left the guy in the white T shirt and the rucksack by the speaker. " )
( vogue_0003 "But I was sceptical because it hadn't worked for me in a while." )
( vogue_0004 "Like a kid performing a play for their parents on holiday." )
( vogue_0005 " Stay there,  she said before disappearing towards the bar." )
( vogue_0006 "It was a clever addition: alone I'd be easier to approach." )
( vogue_0007 "Then I asked him what he did and he told me about his PhD at Oxford." )
( vogue_0008 "Said that all his research was on the laptop inside his bag." )
( vogue_0009 "I thought about making a joke about how I thought I was his baby but decided against it." )
( vogue_0010 "His arms clenched around the handle of the bag." )
( vogue_0011 "The tension running right the way up his arms." )
( vogue_0012 "Girls came over and danced near him and I fucking hated them and wanted to pull their hair out." )
( vogue_0013 "Forgot about feminism for a while." )
( vogue_0014 "He guessed that my top artist on Spotify Wrapped was Drake." )
( vogue_0015 "I wouldn't have guessed James Blake was his but should have been able to." )
( vogue_0016 "He said there's no way that's true, made me make a bet with him on it." )
( vogue_0017 "He still paid for the tequila shot even though he got closer to the right answer." )
( vogue_0018 "It showed that we liked each other enough to still find it interesting." )
( vogue_0019 "At least that was until I asked:  So who do you live with? " )
( vogue_0020 " No, who do you live with? " )
( vogue_0021 " You're not going to like this. " )
( vogue_0022 " I'm not arsed if you live with your parents. " )
( vogue_0023 "The adrenaline high of our conversation crashed around my ears so that all at once I felt exhausted, fatigued." )
( vogue_0024 "Of course, of course, of course." )
( vogue_0025 " Can I buy you a drink or something to make up for this?  he asked." )
( vogue_0026 " I'm probs just gonna find my friends. " )
( vogue_0027 "I worked to make the next twenty minutes as uncomfortable for him as I saw fit." )
( vogue_0028 "Granted, it almost certainly did the opposite." )
( vogue_0029 "I rolled my eyes when he walked past me." )
( vogue_0030 "Unpacked his excuse with some stranger I met in the smoking area." )
( vogue_0031 "How he made it sound like I was objectifying him." )
( vogue_0032 "Why are you only thinking about sex!" )
( vogue_0033 "Their view is muddied by the love they feel." )
( vogue_0034 "They look at you with toothpaste crusted lips and they still feel warm in their chest." )
( vogue_0035 "They kiss you with morning breath." )
